"Section Heading","Box number","Box name","API","Endpoint","Path"
"Unlisted Shares and Securities","CGT35","Losses in the year","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""unlistedShares"" | disposals > lossAfterRelief"
"Unlisted Shares and Securities","CGT36","If you're making any claim or election, put the relevant code in the box","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""unlistedShares"" | disposals > claimOrElectionCodes"
"Unlisted Shares and Securities","CGT37","Total gains or losses on the disposal of an asset of this type reported on Real Time Transaction returns","No longer required as each gain is reported separately in MTD","",""
"Unlisted Shares and Securities","CGT38","Tax on gains in box 37 already paid","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""unlistedShares"" | disposals > rttTaxPaid | nonStandardGains > attributedGainsRttTaxPaid | nonStandardGains > otherGainsRttTaxPaid"
"Unlisted Shares and Securities","CGT39","Gains exceeding the lifetime limit for employee shareholder status shares","Not available","",""
"Unlisted Shares and Securities","CGT40","Gains invested under Seed Enterprise Investment Scheme and qualifying for relief","Not available","",""
"Unlisted Shares and Securities","CGT41","Losses used against income - amount claimed against 2022-23 income","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","losses > setAgainstInYearGeneralIncome"
"Unlisted Shares and Securities","CGT42","Amount in box 41 relating to share loss relief in 2022-23 to which Enterprise Investment Scheme or Seed Enterprise Investment Scheme Relief is attributable","Not available","",""
"Unlisted Shares and Securities","CGT43","Losses used against income - amount claimed against 2021-22 income","Not available","",""
"Unlisted Shares and Securities","CGT44","Amount in box 43 relating to share loss relief in 2021-22 to which Enterprise Investment Scheme or Seed Enterprise Investment Scheme Relief is attributable","Not available","",""
"Losses and adjustments","CGT45","Losses brought forward and used in-year","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","losses > broughtForwardLossesUsedInCurrentYear"
"Losses and adjustments","CGT45","Losses brought forward and used in-year","Individuals Capital Gains Income","Create and Amend CGT Residential Property Disposals (non-PPD)","disposals > lossesFromPreviousYear"
"Losses and adjustments","CGT45","Losses brought forward and used in-year","Individuals Capital Gains Income","Create and Amend 'Report and Pay Capital Gains Tax on Residential Property' Overrides (PPD)","disposals > lossesFromPreviousYear"
"Losses and adjustments","CGT46","Income losses of 2022-23 set against gains","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","losses > setAgainstInYearGains"
"Losses and adjustments","CGT47","Losses available to be carried forward","Not available","",""
"Losses and adjustments","CGT48","Losses used against an earlier year's gain","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","losses > setAgainstEarlierYear"
"Losses and adjustments","CGT49","Gains qualifying for Investors' Relief","No longer required as each gain is reported separately in MTD","",""
"Losses and adjustments","CGT50","Gains qualifying for Business Asset Disposal Relief","No longer required as each gain is reported separately in MTD","",""
"Losses and adjustments","CGT50.1","Lifetime allowance of Business Asset Disposal Relief and Entrepreneurs' Relief claimed - the total amount claimed to date","Not available","",""
"Losses and adjustments","CGT51","Adjustments to Capital Gains Tax","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","adjustments"
"Losses and adjustments","CGT52","Additional liability for non-resident or dual resident trusts","Not available","",""
"Non-resident Capital Gains etc","CGT52.1","For direct disposals of UK residential property or properties, put the total gains chargeable to NRCGT in the box","Not available","",""
"Non-resident Capital Gains etc","CGT52.2","For direct disposals of non-residential UK properties or land, or indirect disposals of any UK properties or land, put the total gains chargeable to NRCGT in the box ","Not available","",""
"Non-resident Capital Gains etc","CGT52.3","If any of the gains in box 52.2 are from indirect disposals, put 'X' in the box","Not available","",""
"Non-resident Capital Gains etc","CGT52.4","Tax on gains in boxes 52.1 and 52.2 already charged","Not available","",""
"Non-resident Capital Gains etc","CGT52.5","Total losses available against NRCGT gains for the year","Not available","",""
"Gains on excluded etc","CGT52EG","Total gains from the disposal of excluded indexed securities - the amount before losses and reliefs","Not available","",""
"Gains on excluded etc","CGT52QG","Total gains from QAHC share repurchases and security redemptions - the amount before losses and reliefs","Not available","",""
"Gains on excluded etc","CGT52QL","Total losses from QAHC share repurchases and security redemptions","Not available","",""
"Any other information","CGT53","If your computations include any estimates or valuations, put 'X' in the box","Not available","",""
"Any other information","CGT54","Please give any other information in this space","Not available","",""
